num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
1,0.5,0.49375,0.503125,0.490625,0.49375,0.5063291139240507,0.5189873417721519,0.5189873417721519,0.5316455696202531,0.5316455696202531,
2,0.50625,0.49375,0.503125,0.490625,0.50625,0.5063291139240507,0.5189873417721519,0.5189873417721519,0.5316455696202531,0.46835443037974683,
3,0.503125,0.55,0.503125,0.490625,0.496875,0.5063291139240507,0.5443037974683544,0.5189873417721519,0.5316455696202531,0.5443037974683544,
4,0.50625,0.553125,0.546875,0.490625,0.496875,0.5063291139240507,0.5443037974683544,0.569620253164557,0.5316455696202531,0.5443037974683544,
5,0.50625,0.553125,0.54375,0.490625,0.496875,0.5063291139240507,0.5443037974683544,0.569620253164557,0.5316455696202531,0.5443037974683544,
6,0.553125,0.49375,0.546875,0.490625,0.546875,0.5443037974683544,0.5189873417721519,0.569620253164557,0.5316455696202531,0.569620253164557,
7,0.553125,0.553125,0.54375,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5316455696202531,0.569620253164557,
8,0.553125,0.553125,0.54375,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5316455696202531,0.46835443037974683,
9,0.553125,0.55,0.54375,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5316455696202531,0.46835443037974683,
10,0.553125,0.55,0.546875,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5316455696202531,0.46835443037974683,
11,0.55,0.55,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
12,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
13,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
14,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
15,0.55,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
16,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
17,0.55,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
18,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
19,0.553125,0.55,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
20,0.553125,0.553125,0.546875,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.46835443037974683,
21,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
22,0.553125,0.553125,0.546875,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.46835443037974683,
23,0.553125,0.553125,0.546875,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.46835443037974683,
24,0.553125,0.553125,0.546875,0.55625,0.50625,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.46835443037974683,
25,0.553125,0.553125,0.546875,0.55625,0.546875,0.5443037974683544,0.5443037974683544,0.569620253164557,0.5189873417721519,0.569620253164557,
