,0
0,0.2435343115871474
1,0.5
2,0.1758260672881951
3,0.4069063179040858
4,0.0
5,0.023739005680427437
6,0.4459307474116398
7,0.4848881423385381
8,0.0
9,0.026862295987707674
10,0.0
11,0.12280463413419332
12,0.4523868384875472
13,0.00864647476969388
14,0.5
15,0.1681938663898567
16,0.31668652932246194
17,0.07195130598942687
18,0.0
19,0.006360357311440579
20,0.23223225232607303
21,0.3121892515555127
22,0.1582811338183072
23,0.4605413927746312
24,0.5
25,0.16057178240709596
26,0.5
27,0.0
28,0.0
29,0.027988153603204637
30,0.06475943699847464
31,0.0
32,0.02002324976776601
33,0.10871616675367768
34,0.1613133691101826
35,0.0
36,0.43388443027409207
37,0.5
38,0.24652467485326873
39,0.4923911638452715
40,0.5
41,0.3545696427876882
42,0.2957740887121173
43,0.16473370434002244
44,0.24828105255669003
45,0.08300017105074697
46,0.0344928766780313
47,0.040466270582083526
48,0.0
49,0.5
50,0.25470506753561817
51,0.5
52,0.02768892220158936
53,0.0
54,0.02617300713883497
55,0.0
56,0.0
57,0.5
58,0.2692022404734552
59,0.32198787644103516
60,0.34842274125331346
61,0.0
62,0.4755359263646113
63,0.5
64,0.34184671261558575
65,0.4710122316675792
66,0.0
67,0.2725335861367048
68,0.060378362949741166
69,0.126355406730786
70,0.4031109678116592
71,0.2747162186532939
72,0.24284975069475068
73,0.0
74,0.0
75,0.09581589591185571
76,0.2105237676047993
77,0.0
78,0.0
