num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
1,0.301375,0.322375,0.2373125,0.3075625,0.3260625,0.31,0.3075,0.253,0.30675,0.323,
2,0.3214375,0.3829375,0.2725625,0.3155,0.283125,0.32525,0.37575,0.27875,0.31925,0.2715,
3,0.372625,0.37,0.314125,0.364375,0.3394375,0.3745,0.35825,0.31375,0.36425,0.33225,
4,0.391375,0.365875,0.3426875,0.409625,0.3829375,0.39725,0.34775,0.349,0.40625,0.3805,
5,0.438375,0.4445625,0.345375,0.4411875,0.4184375,0.4405,0.44625,0.352,0.44225,0.415,
6,0.44975,0.4754375,0.3863125,0.429625,0.428125,0.46075,0.46175,0.39475,0.418,0.4235,
7,0.4310625,0.4998125,0.3695625,0.4628125,0.42575,0.442,0.49675,0.3685,0.455,0.42225,
8,0.4731875,0.5061875,0.407875,0.4784375,0.4395,0.47575,0.50075,0.409,0.47175,0.435,
9,0.47525,0.4801875,0.4254375,0.5248125,0.457125,0.482,0.47825,0.42625,0.5165,0.4585,
10,0.4769375,0.4901875,0.4615625,0.538875,0.4599375,0.4875,0.48375,0.462,0.53125,0.45525,
11,0.49425,0.5175,0.49275,0.5521875,0.4590625,0.49825,0.51725,0.492,0.542,0.45325,
12,0.474625,0.5126875,0.4943125,0.5754375,0.464875,0.4805,0.5125,0.492,0.56725,0.46125,
13,0.4559375,0.525625,0.4955625,0.5765625,0.490375,0.468,0.529,0.48925,0.57075,0.49125,
14,0.4786875,0.5385,0.5015,0.577625,0.4881875,0.4905,0.54325,0.49175,0.575,0.485,
15,0.4873125,0.5493125,0.511125,0.5769375,0.4966875,0.50175,0.55475,0.50775,0.5705,0.49275,
16,0.488375,0.5573125,0.5251875,0.5698125,0.492875,0.502,0.561,0.52075,0.56575,0.48875,
17,0.5106875,0.566,0.5418125,0.57275,0.5005,0.5195,0.5715,0.53,0.56475,0.49825,
18,0.500375,0.5728125,0.542625,0.58025,0.497625,0.512,0.576,0.534,0.57225,0.49725,
19,0.504375,0.5810625,0.5553125,0.572625,0.52275,0.51725,0.57575,0.5465,0.56275,0.52625,
20,0.5076875,0.585875,0.573,0.5689375,0.5066875,0.5165,0.581,0.56825,0.55525,0.509,
21,0.513,0.5693125,0.59425,0.559375,0.5084375,0.5205,0.56725,0.58475,0.548,0.51275,
22,0.52225,0.5888125,0.592625,0.536375,0.5139375,0.529,0.58325,0.58325,0.52475,0.51375,
23,0.524125,0.598,0.5939375,0.550375,0.512375,0.5355,0.5925,0.58725,0.54275,0.51275,
24,0.5306875,0.610875,0.6118125,0.560875,0.52075,0.53975,0.60225,0.60375,0.55,0.51975,
25,0.5328125,0.6009375,0.609125,0.573,0.52975,0.542,0.58975,0.60225,0.5615,0.52975,
26,0.55125,0.5994375,0.607,0.5795625,0.5318125,0.55725,0.59325,0.603,0.56875,0.53325,
27,0.5639375,0.6080625,0.614375,0.5821875,0.5395625,0.57375,0.6025,0.60925,0.57225,0.54025,
28,0.574375,0.6025625,0.6205625,0.5854375,0.539375,0.5835,0.60025,0.61525,0.5815,0.53825,
29,0.565,0.5994375,0.6156875,0.5930625,0.5489375,0.57225,0.59575,0.61175,0.5845,0.54975,
30,0.576375,0.6096875,0.6178125,0.6044375,0.5576875,0.58425,0.60575,0.6145,0.60125,0.5575,
31,0.5795625,0.6199375,0.6121875,0.6098125,0.566,0.582,0.615,0.60975,0.60575,0.5655,
32,0.5739375,0.621625,0.6160625,0.6151875,0.571,0.5725,0.6135,0.61225,0.60825,0.567,
33,0.5750625,0.6381875,0.6225625,0.6258125,0.5745625,0.57175,0.6285,0.61875,0.61875,0.5705,
34,0.5953125,0.6474375,0.618125,0.6328125,0.5869375,0.5905,0.6385,0.616,0.62375,0.58775,
35,0.606375,0.6488125,0.6189375,0.6270625,0.5961875,0.60325,0.64325,0.618,0.618,0.59975,
36,0.6021875,0.64075,0.615875,0.621,0.5991875,0.6035,0.63375,0.61725,0.61225,0.606,
37,0.614,0.6443125,0.6201875,0.623625,0.5906875,0.6165,0.6395,0.621,0.61075,0.5925,
38,0.608,0.6440625,0.619125,0.61325,0.5925625,0.61475,0.6405,0.6205,0.60225,0.59475,
39,0.625125,0.6430625,0.61025,0.6109375,0.5893125,0.63075,0.64,0.61525,0.6005,0.58625,
40,0.626375,0.655,0.614625,0.61325,0.5860625,0.6345,0.6485,0.616,0.60175,0.58425,
41,0.6214375,0.6585,0.613375,0.615,0.5888125,0.628,0.65275,0.619,0.60675,0.58925,
42,0.6134375,0.6575625,0.6189375,0.6165625,0.59575,0.6225,0.64725,0.624,0.60825,0.5955,
43,0.622125,0.6539375,0.6285,0.626375,0.598875,0.62625,0.64375,0.6305,0.61725,0.59925,
44,0.617625,0.6538125,0.6303125,0.6274375,0.5899375,0.62025,0.648,0.6325,0.61625,0.58875,
45,0.61425,0.6521875,0.6360625,0.6301875,0.5868125,0.616,0.64325,0.64525,0.62125,0.589,
46,0.622875,0.6521875,0.6316875,0.63425,0.5851875,0.62625,0.64525,0.63825,0.6265,0.5885,
47,0.624625,0.65575,0.6333125,0.623625,0.58875,0.62625,0.65225,0.63875,0.61525,0.59225,
48,0.6269375,0.661,0.6349375,0.615625,0.5784375,0.628,0.652,0.64025,0.6065,0.57925,
49,0.631875,0.66925,0.6475,0.6155,0.5864375,0.6315,0.66225,0.6505,0.60775,0.58675,
50,0.6425,0.67025,0.6489375,0.62575,0.59075,0.6425,0.663,0.652,0.61825,0.59075,
51,0.63325,0.667,0.6530625,0.62325,0.599,0.632,0.65875,0.6545,0.61925,0.60225,
52,0.628875,0.6634375,0.6499375,0.6291875,0.605,0.63125,0.65625,0.6525,0.622,0.608,
53,0.6235,0.66175,0.657625,0.6315,0.5959375,0.62575,0.65375,0.65925,0.626,0.59625,
54,0.6320625,0.6660625,0.6549375,0.6396875,0.5975625,0.633,0.65875,0.65275,0.6345,0.59575,
55,0.640875,0.6685,0.650875,0.6365,0.59775,0.64375,0.6625,0.649,0.62825,0.6005,
56,0.6463125,0.67225,0.654625,0.641625,0.5958125,0.6475,0.66875,0.65325,0.6345,0.60025,
57,0.6445625,0.677,0.6575625,0.6464375,0.6021875,0.64625,0.6735,0.6565,0.6415,0.605,
58,0.646125,0.6788125,0.6579375,0.6528125,0.603,0.649,0.67325,0.65625,0.64625,0.606,
59,0.6505,0.677125,0.6598125,0.6573125,0.607375,0.651,0.6715,0.65975,0.65175,0.60775,
60,0.6481875,0.67975,0.658125,0.6600625,0.6075,0.65,0.67175,0.6575,0.65525,0.60825,
61,0.6504375,0.681875,0.6594375,0.656875,0.6105625,0.65375,0.6755,0.6585,0.64975,0.609,
62,0.6621875,0.681625,0.658,0.655625,0.6088125,0.66325,0.675,0.65525,0.64825,0.60525,
63,0.66,0.6781875,0.654875,0.654125,0.60925,0.6615,0.6705,0.65575,0.64175,0.60825,
64,0.6579375,0.6808125,0.6590625,0.65375,0.60375,0.6605,0.672,0.65825,0.64125,0.604,
65,0.6504375,0.684625,0.6535625,0.65775,0.6006875,0.652,0.6765,0.655,0.64875,0.597,
66,0.648875,0.6856875,0.6558125,0.6560625,0.6048125,0.6495,0.675,0.65175,0.64775,0.60275,
67,0.6521875,0.685875,0.655125,0.660625,0.60525,0.65275,0.67625,0.65025,0.6525,0.6025,
68,0.653625,0.6879375,0.6591875,0.662375,0.602125,0.6555,0.67975,0.65725,0.65425,0.59675,
69,0.652375,0.685125,0.6590625,0.6538125,0.6050625,0.6525,0.6755,0.658,0.64825,0.6015,
70,0.649375,0.6855,0.663125,0.6549375,0.6089375,0.651,0.67575,0.6575,0.648,0.60425,
71,0.649,0.6830625,0.6608125,0.6574375,0.603125,0.64975,0.67275,0.654,0.64825,0.596,
72,0.6494375,0.6841875,0.6575625,0.661,0.609375,0.64875,0.674,0.65325,0.6515,0.60425,
73,0.64575,0.6850625,0.6543125,0.660625,0.6074375,0.65,0.6735,0.652,0.6525,0.602,
74,0.6518125,0.683125,0.6551875,0.663625,0.608125,0.65275,0.67375,0.653,0.65775,0.605,
75,0.65125,0.6831875,0.65275,0.6624375,0.612125,0.652,0.67625,0.65175,0.65525,0.6115,
76,0.64725,0.6850625,0.6530625,0.6600625,0.6090625,0.652,0.67675,0.65175,0.653,0.608,
77,0.644875,0.682,0.653625,0.6589375,0.6096875,0.64975,0.67275,0.6505,0.65375,0.6105,
78,0.653125,0.683625,0.6538125,0.656375,0.6120625,0.656,0.6715,0.64975,0.65325,0.61325,
79,0.6513125,0.6815625,0.6591875,0.65925,0.612875,0.65125,0.67175,0.65375,0.65575,0.61125,
80,0.6525,0.6811875,0.658,0.6636875,0.619875,0.656,0.674,0.6535,0.65675,0.6175,
81,0.64925,0.6805625,0.6526875,0.66375,0.6224375,0.6535,0.66925,0.6485,0.65975,0.622,
82,0.6489375,0.684875,0.6546875,0.6655,0.6186875,0.65125,0.6735,0.64825,0.65875,0.61875,
83,0.6509375,0.6856875,0.65475,0.6671875,0.6199375,0.65325,0.67325,0.65025,0.6605,0.6195,
84,0.6535,0.6864375,0.6551875,0.6674375,0.6170625,0.656,0.67675,0.65325,0.6585,0.61825,
85,0.652375,0.6855,0.655125,0.66775,0.6175625,0.6555,0.67725,0.6525,0.6575,0.6135,
86,0.6513125,0.6851875,0.6563125,0.6704375,0.6195,0.654,0.678,0.654,0.6595,0.617,
87,0.6506875,0.683375,0.6559375,0.6709375,0.6224375,0.65575,0.67775,0.655,0.6635,0.6205,
88,0.6515625,0.6843125,0.6570625,0.673125,0.6275,0.655,0.68025,0.6555,0.66825,0.62675,
89,0.6536875,0.6876875,0.6570625,0.673125,0.62625,0.6565,0.68275,0.6555,0.6675,0.625,
90,0.6546875,0.6895,0.6586875,0.670125,0.63,0.6555,0.682,0.65725,0.66175,0.6295,
91,0.6531875,0.6874375,0.6586875,0.6724375,0.6244375,0.65475,0.68025,0.659,0.66625,0.62525,
92,0.6514375,0.689125,0.6584375,0.67375,0.6231875,0.65475,0.68125,0.6565,0.6685,0.622,
93,0.654125,0.6915,0.661375,0.6765,0.6215625,0.6575,0.68275,0.6595,0.6705,0.6225,
94,0.65775,0.6898125,0.6638125,0.6749375,0.6194375,0.66,0.6845,0.66275,0.6705,0.619,
95,0.6579375,0.6913125,0.6655625,0.67525,0.62025,0.66225,0.6855,0.66175,0.67025,0.62075,
96,0.658,0.69075,0.6653125,0.6731875,0.621125,0.6605,0.6825,0.6635,0.67,0.62075,
97,0.659625,0.69275,0.665,0.673125,0.61975,0.6625,0.68425,0.66425,0.6685,0.62075,
98,0.659375,0.6916875,0.6686875,0.6749375,0.6244375,0.665,0.6815,0.66475,0.6695,0.62525,
99,0.6594375,0.6885625,0.67275,0.6765,0.62425,0.6645,0.68125,0.67125,0.67075,0.62525,
100,0.6594375,0.6895,0.671875,0.6784375,0.6240625,0.6655,0.68,0.6705,0.6725,0.624,
101,0.6629375,0.688,0.67025,0.68025,0.620375,0.668,0.681,0.67125,0.6735,0.61825,
102,0.6635625,0.6891875,0.6710625,0.6800625,0.6240625,0.66775,0.68175,0.67025,0.6725,0.625,
103,0.6653125,0.688875,0.6714375,0.6811875,0.62175,0.66775,0.6795,0.67025,0.6735,0.622,
104,0.6674375,0.6899375,0.672625,0.680625,0.6191875,0.67175,0.68125,0.66975,0.6745,0.61825,
105,0.66475,0.6925,0.6740625,0.6819375,0.622,0.67025,0.68175,0.67175,0.674,0.621,
106,0.667375,0.692375,0.674875,0.6826875,0.625125,0.6715,0.68275,0.673,0.67425,0.622,
107,0.6673125,0.693,0.6735,0.6818125,0.625625,0.67,0.6865,0.673,0.67675,0.625,
108,0.670125,0.6921875,0.67625,0.681125,0.6255625,0.671,0.687,0.67825,0.67575,0.6235,
109,0.6693125,0.6933125,0.674875,0.6809375,0.6289375,0.6715,0.68775,0.67625,0.677,0.62825,
110,0.6725625,0.6928125,0.6761875,0.6805625,0.635125,0.6745,0.687,0.6755,0.6745,0.6325,
111,0.674875,0.691,0.675375,0.6823125,0.634125,0.67775,0.68575,0.6735,0.67825,0.63075,
112,0.6768125,0.69075,0.674625,0.680875,0.6341875,0.6765,0.68675,0.67375,0.67475,0.632,
113,0.6778125,0.6931875,0.6785625,0.682125,0.6325625,0.67825,0.68775,0.6755,0.67875,0.6345,
114,0.6750625,0.6945625,0.6771875,0.6855625,0.6330625,0.6745,0.68675,0.6745,0.68025,0.63525,
115,0.6761875,0.693,0.6770625,0.68725,0.63625,0.67575,0.6845,0.676,0.68225,0.63825,
116,0.6763125,0.6960625,0.672875,0.685375,0.6380625,0.67625,0.6875,0.66975,0.6825,0.638,
117,0.6738125,0.6938125,0.6748125,0.6838125,0.640875,0.675,0.6865,0.67025,0.682,0.63925,
118,0.671625,0.6960625,0.6773125,0.683625,0.6419375,0.6715,0.688,0.6745,0.67825,0.63925,
119,0.669625,0.697375,0.678375,0.6816875,0.64625,0.6705,0.689,0.675,0.6805,0.64475,
120,0.6675,0.6985625,0.680875,0.683875,0.647125,0.6695,0.6875,0.67575,0.682,0.643,
121,0.668,0.6966875,0.682625,0.683375,0.649,0.6715,0.6875,0.67625,0.68,0.64525,
122,0.6696875,0.6956875,0.685625,0.68575,0.64825,0.67125,0.686,0.68025,0.68225,0.646,
123,0.671375,0.6955625,0.685,0.6868125,0.6491875,0.6725,0.68475,0.67775,0.684,0.6455,
124,0.6684375,0.6975625,0.683,0.6868125,0.6506875,0.6705,0.6845,0.677,0.6825,0.64775,
125,0.6689375,0.697625,0.6831875,0.68925,0.654125,0.67175,0.68775,0.676,0.68525,0.65025,
126,0.6706875,0.697125,0.681125,0.6891875,0.6560625,0.67325,0.686,0.6745,0.683,0.65275,
127,0.6701875,0.6999375,0.6810625,0.6881875,0.6531875,0.67225,0.687,0.67175,0.68075,0.65125,
128,0.670875,0.7020625,0.6786875,0.6906875,0.6495625,0.672,0.68975,0.6705,0.684,0.648,
129,0.672375,0.70275,0.67775,0.6905,0.6506875,0.6735,0.69025,0.67025,0.6845,0.64775,
130,0.6708125,0.7025625,0.6778125,0.6901875,0.651625,0.673,0.69025,0.66925,0.68375,0.65025,
131,0.6685625,0.7033125,0.677,0.69025,0.65425,0.6695,0.69025,0.67025,0.6845,0.6525,
