num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
59,0.5780625,0.5798125,0.5868125,0.626875,0.5593125,0.581,0.57475,0.59425,0.6315,0.546,
60,0.588375,0.5834375,0.5871875,0.627875,0.5615625,0.58725,0.57775,0.596,0.626,0.5515,
61,0.588625,0.586,0.587375,0.62925,0.561875,0.58575,0.58175,0.59525,0.6305,0.55125,
62,0.583875,0.5844375,0.5871875,0.62775,0.565,0.5785,0.58025,0.59325,0.62975,0.5535,
63,0.5836875,0.5918125,0.5860625,0.6325625,0.5655,0.582,0.58575,0.59175,0.63525,0.553,
64,0.582625,0.593875,0.5869375,0.6323125,0.572875,0.579,0.59275,0.5905,0.634,0.56125,
65,0.5854375,0.596375,0.5840625,0.625125,0.5744375,0.5835,0.59525,0.58775,0.63025,0.561,
66,0.5885625,0.5960625,0.5820625,0.6215625,0.5690625,0.59,0.592,0.58525,0.62675,0.5565,
67,0.594375,0.5965,0.5845,0.6218125,0.5655,0.59625,0.592,0.5875,0.6245,0.55025,
68,0.5945,0.59075,0.5845625,0.620625,0.5631875,0.5955,0.588,0.58575,0.6245,0.551,
69,0.5966875,0.595125,0.5869375,0.6238125,0.5621875,0.601,0.59025,0.586,0.62875,0.549,
70,0.592875,0.5985,0.5864375,0.61825,0.5639375,0.59325,0.595,0.5855,0.62325,0.549,
71,0.59575,0.5998125,0.587875,0.6203125,0.565125,0.59825,0.59625,0.5895,0.62325,0.55,
72,0.5956875,0.5974375,0.5899375,0.6206875,0.5645,0.60025,0.59425,0.59175,0.6245,0.549,
73,0.597875,0.5980625,0.5944375,0.623625,0.569375,0.60275,0.592,0.595,0.629,0.553,
74,0.6051875,0.593,0.59425,0.62075,0.5713125,0.60975,0.5885,0.59575,0.62775,0.55475,
75,0.60875,0.5920625,0.590125,0.620875,0.574,0.61025,0.5885,0.59225,0.62775,0.55725,
76,0.616625,0.592875,0.59125,0.622875,0.5743125,0.617,0.592,0.592,0.6275,0.558,
77,0.610375,0.5983125,0.592125,0.619875,0.5714375,0.61275,0.596,0.59175,0.62725,0.55475,
78,0.6128125,0.5904375,0.5925,0.6231875,0.5733125,0.61175,0.59225,0.5925,0.6305,0.55675,
79,0.606,0.5896875,0.593625,0.620375,0.56925,0.60875,0.5905,0.5935,0.62425,0.55425,
80,0.61125,0.5955625,0.5954375,0.6195625,0.5709375,0.60975,0.59475,0.59425,0.6245,0.5555,
81,0.6038125,0.5985625,0.596625,0.6205,0.5711875,0.60425,0.59875,0.5945,0.626,0.55675,
82,0.602625,0.601,0.5991875,0.6201875,0.5683125,0.60125,0.60025,0.5975,0.625,0.55325,
83,0.60675,0.603375,0.6,0.6194375,0.565375,0.6035,0.6025,0.6015,0.62425,0.54975,
84,0.6021875,0.6070625,0.5966875,0.618375,0.5654375,0.5985,0.60475,0.59675,0.6245,0.55025,
85,0.6016875,0.60575,0.59675,0.6205,0.5653125,0.599,0.60275,0.599,0.628,0.55225,
86,0.6055625,0.6065625,0.5955625,0.621125,0.56625,0.60325,0.60425,0.597,0.6275,0.55375,
87,0.598375,0.608,0.597125,0.6196875,0.566375,0.599,0.60525,0.5995,0.62625,0.55425,
88,0.5999375,0.608375,0.5970625,0.619,0.5696875,0.59975,0.60625,0.6,0.62625,0.5565,
89,0.6025,0.6088125,0.59625,0.6195,0.57075,0.60125,0.6055,0.5995,0.6295,0.55675,
90,0.60275,0.610125,0.59275,0.618,0.5694375,0.60125,0.60575,0.595,0.6265,0.55875,
91,0.608,0.604375,0.591375,0.619875,0.573125,0.606,0.60125,0.59425,0.63025,0.56225,
92,0.6105625,0.6044375,0.5925625,0.6189375,0.577875,0.61125,0.5995,0.5925,0.63125,0.56525,
93,0.6114375,0.606375,0.592625,0.620375,0.5803125,0.60975,0.60425,0.59175,0.632,0.5675,
94,0.6055,0.609125,0.59275,0.6213125,0.5824375,0.60525,0.606,0.59275,0.63075,0.5685,
95,0.6008125,0.609,0.5945,0.62275,0.5824375,0.60025,0.606,0.59425,0.63175,0.56775,
96,0.601375,0.610125,0.5935625,0.6248125,0.575875,0.60025,0.60875,0.5925,0.634,0.56275,
97,0.603,0.6120625,0.5965,0.6261875,0.5733125,0.605,0.61025,0.595,0.63475,0.56225,
98,0.604875,0.6121875,0.5951875,0.6278125,0.574125,0.60675,0.61225,0.5945,0.6355,0.56275,
99,0.60575,0.6116875,0.5975625,0.6261875,0.577,0.607,0.612,0.5945,0.6325,0.56475,
100,0.6071875,0.6133125,0.6003125,0.6286875,0.5789375,0.60675,0.612,0.599,0.636,0.566,
101,0.6093125,0.613875,0.601875,0.62875,0.5805,0.61,0.612,0.60075,0.6385,0.56675,
102,0.612125,0.61675,0.6009375,0.628875,0.579375,0.61125,0.612,0.60025,0.6395,0.56575,
