num,train1,train2,train3,train4,train5,test1,test2,test3,test4,test5
1,0.561125,0.5814375,0.46825,0.5324375,0.521375,0.559,0.57125,0.471,0.5145,0.52225,
2,0.522125,0.555375,0.476625,0.527,0.5320625,0.5175,0.5565,0.4745,0.504,0.51875,
3,0.606875,0.5976875,0.5533125,0.6069375,0.6265,0.59975,0.59025,0.5615,0.59575,0.613,
4,0.6530625,0.625625,0.5855625,0.6234375,0.6449375,0.6415,0.6205,0.593,0.61625,0.6385,
5,0.668125,0.646375,0.6235625,0.6484375,0.6674375,0.652,0.6355,0.62825,0.641,0.66725,
6,0.6775625,0.65575,0.6485,0.6699375,0.682625,0.65975,0.64575,0.653,0.663,0.678,
7,0.6710625,0.6730625,0.667375,0.6686875,0.68875,0.6575,0.6585,0.6715,0.672,0.68525,
8,0.684125,0.684375,0.681875,0.6865,0.70125,0.66675,0.671,0.6815,0.685,0.69375,
9,0.6851875,0.685625,0.69625,0.68975,0.713375,0.668,0.67,0.694,0.68775,0.707,
10,0.6910625,0.7005,0.7036875,0.6913125,0.714875,0.67275,0.682,0.69775,0.682,0.712,
11,0.70225,0.7083125,0.7106875,0.7005,0.717125,0.68475,0.68825,0.70675,0.6965,0.7155,
12,0.7056875,0.715,0.7179375,0.709875,0.7195625,0.6865,0.6975,0.7095,0.70525,0.7235,
13,0.7125625,0.7114375,0.720875,0.7113125,0.7224375,0.699,0.69775,0.712,0.70425,0.72575,
14,0.71275,0.71325,0.719,0.7181875,0.7231875,0.69625,0.69625,0.71225,0.7075,0.72875,
15,0.7145625,0.7085,0.7265,0.7234375,0.7255,0.698,0.69525,0.72125,0.71725,0.7305,
16,0.7164375,0.7186875,0.7203125,0.72825,0.733375,0.69825,0.7055,0.71425,0.718,0.7395,
17,0.72475,0.719375,0.7260625,0.7330625,0.7343125,0.70525,0.70325,0.72,0.7205,0.74125,
18,0.7255,0.718,0.7309375,0.733625,0.7353125,0.707,0.70475,0.72775,0.72025,0.7385,
19,0.7305,0.7225,0.7354375,0.7328125,0.739625,0.71075,0.70825,0.72825,0.722,0.742,
